lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.09999999999999998,1253,83,1170,0,1030,223,0.0,0.8220271348762969,0.1779728651237031,0.1779728651237031,0,0,45,985,38,185,,0.17040358744394618,0.0,0.4578313253012048,0.5421686746987951,1.0,0.1581196581196581,1562.5
0.005,0.10499999999999998,1253,83,1170,0,1048,205,0.0,0.8363926576217079,0.1636073423782921,0.1636073423782921,0,0,46,1002,37,168,,0.18048780487804877,0.0,0.4457831325301205,0.5542168674698795,1.0,0.14358974358974358,1529.0
0.005,0.10999999999999997,1253,83,1170,0,1069,184,0.0,0.8531524341580208,0.14684756584197925,0.14684756584197925,0,0,49,1020,34,150,,0.18478260869565216,0.0,0.40963855421686746,0.5903614457831325,1.0,0.1282051282051282,1494.5
0.005,0.11499999999999996,1253,83,1170,0,1086,167,0.0,0.8667198723064645,0.1332801276935355,0.1332801276935355,0,0,51,1035,32,135,,0.19161676646706588,0.0,0.3855421686746988,0.6144578313253012,1.0,0.11538461538461539,1465.5
0.005,0.11999999999999997,1253,83,1170,0,1101,152,0.0,0.8786911412609737,0.12130885873902633,0.12130885873902633,0,0,52,1049,31,121,,0.20394736842105263,0.0,0.37349397590361444,0.6265060240963856,1.0,0.10341880341880341,1438.0
0.005,0.12499999999999997,1253,83,1170,0,1118,135,0.0,0.8922585794094174,0.1077414205905826,0.1077414205905826,0,0,55,1063,28,107,,0.2074074074074074,0.0,0.3373493975903614,0.6626506024096386,1.0,0.09145299145299145,1411.5
0.005,0.12999999999999995,1253,83,1170,0,1136,117,0.0,0.9066241021548284,0.09337589784517158,0.09337589784517158,0,0,55,1081,28,89,,0.23931623931623933,0.0,0.3373493975903614,0.6626506024096386,1.0,0.07606837606837606,1375.5
0.005,0.13499999999999995,1253,83,1170,0,1148,105,0.0,0.9162011173184358,0.08379888268156424,0.08379888268156424,0,0,58,1090,25,80,,0.23809523809523808,0.0,0.30120481927710846,0.6987951807228916,1.0,0.06837606837606838,1359.0
0.005,0.13999999999999996,1253,83,1170,0,1156,97,0.0,0.922585794094174,0.07741420590582601,0.07741420590582601,0,0,58,1098,25,72,,0.25773195876288657,0.0,0.30120481927710846,0.6987951807228916,1.0,0.06153846153846154,1343.0
0.005,0.14499999999999996,1253,83,1170,0,1163,90,0.0,0.928172386272945,0.07182761372705507,0.07182761372705507,0,0,60,1103,23,67,,0.25555555555555554,0.0,0.27710843373493976,0.7228915662650602,1.0,0.05726495726495726,1334.0
0.005,0.14999999999999997,1253,83,1170,0,1176,77,0.0,0.9385474860335196,0.061452513966480445,0.061452513966480445,0,0,64,1112,19,58,,0.24675324675324675,0.0,0.2289156626506024,0.7710843373493976,1.0,0.04957264957264957,1318.0
0.005,0.15499999999999994,1253,83,1170,0,1179,74,0.0,0.9409417398244214,0.05905826017557861,0.05905826017557861,0,0,65,1114,18,56,,0.24324324324324326,0.0,0.21686746987951808,0.7831325301204819,1.0,0.04786324786324787,1314.5
0.005,0.15999999999999995,1253,83,1170,0,1183,70,0.0,0.9441340782122905,0.055865921787709494,0.055865921787709494,0,0,66,1117,17,53,,0.24285714285714285,0.0,0.20481927710843373,0.7951807228915663,1.0,0.0452991452991453,1309.0
0.005,0.16499999999999995,1253,83,1170,0,1188,65,0.0,0.9481245011971269,0.05187549880287311,0.05187549880287311,0,0,68,1120,15,50,,0.23076923076923078,0.0,0.18072289156626506,0.8192771084337349,1.0,0.042735042735042736,1304.0
0.005,0.16999999999999993,1253,83,1170,0,1195,58,0.0,0.9537110933758979,0.04628890662410216,0.04628890662410216,0,0,68,1127,15,43,,0.25862068965517243,0.0,0.18072289156626506,0.8192771084337349,1.0,0.03675213675213675,1290.0
0.005,0.17499999999999993,1253,83,1170,0,1202,51,0.0,0.9592976855546688,0.040702314445331206,0.040702314445331206,0,0,70,1132,13,38,,0.2549019607843137,0.0,0.1566265060240964,0.8433734939759037,1.0,0.03247863247863248,1281.0
0.005,0.17999999999999994,1253,83,1170,0,1210,43,0.0,0.965682362330407,0.034317637669592976,0.034317637669592976,0,0,73,1137,10,33,,0.23255813953488372,0.0,0.12048192771084337,0.8795180722891566,1.0,0.028205128205128206,1272.5
0.005,0.18499999999999994,1253,83,1170,0,1214,39,0.0,0.9688747007182761,0.03112529928172386,0.03112529928172386,0,0,73,1141,10,29,,0.2564102564102564,0.0,0.12048192771084337,0.8795180722891566,1.0,0.024786324786324785,1264.5
